NºPer.;Desde*;Hasta*;Nombrto/Contrato;Razón de Alta;Plaza;RJ;Cláusula;T.Nombrto;Días;Puesto trabajo;GFH;Dirección;Puesto Sustitutido;Necesidad
00000001;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;E;I_9_1a;N91a;365;FEA CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;CONS.TRAUMA ¿ CAE LA LAGUNA;DIRECCIÓN MÉDICA;;0
00000002;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;MEDICO/A ADMISIÓN Y DOCUMENT. CLÍNICA;E;I_9_1a;N91a;365;MEDICA/O DE ADMISION Y DOCUMENTACION CL;ADMISIÓN CENTRAL;DIRECCIÓN MÉDICA;;0
00000003;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA MEDICINA INTENSIVA;E;I_9_1a;N91a;365;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00000004;31/03/2026;20260331;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;FEA CARDIOLOGÍA;E;I_9_1c;N91c;90;FEA CARDIOLOGÍA;P.MÉDICO CARDIOLOGÍA;DIRECCIÓN MÉDICA;;0
00000005;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA CARDIOLOGÍA;E;I_9_1a;N91a;275;FEA CARDIOLOGÍA;P.MÉDICO CARDIOLOGÍA;DIRECCIÓN MÉDICA;;0
00000006;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA MEDICINA INTERNA;E;I_9_1a;N91a;365;FEA MEDICINA INTERNA;P.MÉDICO MEDICINA INTERNA;DIRECCIÓN MÉDICA;;0
00000007;15/12/2026;20261215;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;FEA MEDICINA NUCLEAR;E;I_9_1c;N91c;275;FEA MEDICINA NUCLEAR;P.MÉDICO MED.NUCLEAR;DIRECCIÓN MÉDICA;;0
00000008;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA MEDICINA INTERNA;E;I_9_1a;N91a;365;FEA MEDICINA INTERNA;P.MÉDICO INFECCIOSOS MEDICINA INTERNA;DIRECCIÓN MÉDICA;;0
00000009;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA PSICOLOGÍA CLÍNICA;E;I_9_1a;N91a;365;FEA PSICOLOGÍA CLÍNICA;P.MÉDICO PSIQUIATRÍA;DIRECCIÓN MÉDICA;;0
00000010;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA CARDIOLOGÍA;E;I_9_1a;N91a;365;FEA CARDIOLOGÍA;P.MÉDICO CARDIOLOGÍA;DIRECCIÓN MÉDICA;;0
00000011;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA UROLOGÍA;E;I_9_1a;N91a;365;FEA UROLOGÍA;P.MÉDICO UROLOGÍA;DIRECCIÓN MÉDICA;;0
00000012;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;DESEMPEÑO FUNCIONES SUPERIOR CATEGORIA;FEA FARMACOLOGÍA CLÍNICA;E;S_9B_1a;S9b1a;365;FEA FARMACOLOGÍA CLÍNICA;FARMACOLOGÍA CLÍNICA;DIRECCIÓN MÉDICA;JEFE DE SERVICIO FARMACOLOGÍA CLÍNICA;0
00000013;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA NEUROLOGÍA;E;I_9_1a;N91a;365;FEA NEUROLOGÍA;P.MÉDICO NEUROLOGÍA;DIRECCIÓN MÉDICA;;0
00000014;28/02/2026;20260228;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA DERMATOLOGÍA;E;I_9_1a;N91a;59;FEA DERMATOLOGÍA;P.MÉDICO DERMATOLOGÍA;DIRECCIÓN MÉDICA;;0
00000015;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA DERMATOLOGÍA;E;I_9_1a;N91a;275;FEA DERMATOLOGÍA;P.MÉDICO DERMATOLOGÍA;DIRECCIÓN MÉDICA;;0
00000016;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;E;I_9_1a;N91a;365;FEA CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA;P.MÉDICO TRAUMA;DIRECCIÓN MÉDICA;;0
00000017;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA ANESTESIOLOGÍA Y REANIMACIÓN;E;I_9_1a;N91a;365;FEA ANESTESIOLOGÍA Y REANIMACIÓN;P.MÉDICO ANESTESIA;DIRECCIÓN MÉDICA;;0
00000018;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA OBSTETRICIA Y GINECOLOGÍA;E;I_9_1a;N91a;365;FEA OBSTETRICIA Y GINECOLOGÍA;P.MÉDICO GINECOLOGÍA;DIRECCIÓN MÉDICA;;0
00000019;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA ANESTESIOLOGÍA Y REANIMACIÓN;E;I_9_1a;N91a;365;FEA ANESTESIOLOGÍA Y REANIMACIÓN;P.MÉDICO ANESTESIA;DIRECCIÓN MÉDICA;;0
00000020;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA APARATO DIGESTIVO;E;I_9_1a;N91a;365;FEA APARATO DIGESTIVO;P.MÉDICO DIGESTIVO;DIRECCIÓN MÉDICA;;0
00000021;31/03/2026;20260331;TEMPORAL. T. COM. INTER. N. ESTA;DESEMPEÑO FUNCIONES SUPERIOR CATEGORIA;FEA RADIOFÍSICA HOSPITALARIA;E;S_9B_1a;S9b1a;90;FEA RADIOFÍSICA HOSPITALARIA;FÍSICA MÉDICA (UDAD.TÉC.RADIOPROTECCIÓN);DIRECCIÓN MÉDICA;JEFE DE SERVICIO RADIOFÍSICA HOSPITALARIA;0
00000022;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA RADIOFÍSICA HOSPITALARIA;E;I_9_1a;N91a;275;FEA RADIOFÍSICA HOSPITALARIA;FÍSICA MÉDICA (UDAD.TÉC.RADIOPROTECCIÓN);DIRECCIÓN MÉDICA;;0
00000023;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA NEFROLOGÍA;E;I_9_1a;N91a;365;FEA NEFROLOGÍA;P.MÉDICO NEFROLOGÍA;DIRECCIÓN MÉDICA;;0
00000024;02/08/2026;20260802;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA RADIODIAGNÓSTICO;E;I_9_1a;N91a;214;FEA RADIODIAGNÓSTICO;P.MÉDICO RADIODIAGNÓSTICO;DIRECCIÓN MÉDICA;;0
00000025;11/01/2026;20260111;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;FEA MEDICINA INTENSIVA;E;I_9_1c;N91c;11;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00000026;31/03/2026;20260331;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;FEA MEDICINA INTENSIVA;E;I_9_1c;N91c;79;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00000027;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA MEDICINA INTENSIVA;E;I_9_1a;N91a;275;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00000028;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA MEDICINA INTENSIVA;E;I_9_1a;N91a;365;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00000029;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA NEFROLOGÍA;E;I_9_1a;N91a;365;FEA NEFROLOGÍA;P.MÉDICO NEFROLOGÍA;DIRECCIÓN MÉDICA;;0
00000030;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA NEUROCIRUGÍA;E;I_9_1a;N91a;365;FEA NEUROCIRUGÍA;P.MÉDICO NEUROCIRUGÍA;DIRECCIÓN MÉDICA;;0
00000031;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA FARMACIA HOSPITALARIA;E;I_9_1a;N91a;365;FEA FARMACIA HOSPITALARIA;P.TEC.SUP.DE FARMACIA;DIRECCIÓN MÉDICA;;0
00000032;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA MEDICINA INTENSIVA;E;I_9_1a;N91a;365;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00000033;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA CARDIOLOGÍA;E;I_9_1a;N91a;365;FEA CARDIOLOGÍA;P.MÉDICO CARDIOLOGÍA;DIRECCIÓN MÉDICA;;0
00000034;11/01/2026;20260111;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA ENDOCRINOLOGÍA Y N;E;I_9_1a;N91a;11;FEA ENDOCRINOLOGÍA Y NUTRICIÓN;P.MÉDICO ENDOCRINOLOGÍA;DIRECCIÓN MÉDICA;;0
00000035;13/05/2026;20260513;TEMPORAL. T. COM. INTER. N. ESTA;LIBERACION SINDICAL;FEA ENDOCRINOLOGÍA Y N;E;S_9B_1a;S9b1a;122;FEA ENDOCRINOLOGÍA Y NUTRICIÓN;P.MÉDICO ENDOCRINOLOGÍA;DIRECCIÓN MÉDICA;FEA ENDOCRINOLOGÍA Y NUTRICIÓN;0
00000036;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;LIBERACION SINDICAL;FEA ENDOCRINOLOGÍA Y N;E;S_9B_1a;S9b1a;232;FEA ENDOCRINOLOGÍA Y NUTRICIÓN;P.MÉDICO ENDOCRINOLOGÍA;DIRECCIÓN MÉDICA;;0
00000037;31/03/2026;20260331;TEMPORAL. T. COMPLETO. N. ESTATU;PROGRAMA CARACTER TEMPORAL;FEA MEDICINA INTENSIVA;E;I_9_1b;N91b;90;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00000038;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA MEDICINA INTENSIVA;E;I_9_1a;N91a;275;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00000039;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA NEUMOLOGÍA;E;I_9_1a;N91a;365;FEA NEUMOLOGÍA;P.MÉDICO NEUMOLOGÍA;DIRECCIÓN MÉDICA;;0
00000040;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA UROLOGÍA;E;I_9_1a;N91a;365;FEA UROLOGÍA;P.MÉDICO UROLOGÍA;DIRECCIÓN MÉDICA;;0
00000041;31/03/2026;20260331;TEMPORAL. T. COMPLETO. N. ESTATU;PROGRAMA CARACTER TEMPORAL;FEA NEUROCIRUGÍA;E;I_9_1b;N91b;90;FEA NEUROCIRUGÍA;P.MÉDICO NEUROCIRUGÍA;DIRECCIÓN MÉDICA;;0
00000042;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA NEUROCIRUGÍA;E;I_9_1a;N91a;275;FEA NEUROCIRUGÍA;P.MÉDICO NEUROCIRUGÍA;DIRECCIÓN MÉDICA;;0
00000043;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA ONCOLOGÍA MEDICA;E;I_9_1a;N91a;365;FEA ONCOLOGÍA MÉDICA;P.MÉDICO ONCOLOGÍA MÉDICA;DIRECCIÓN MÉDICA;;0
00000044;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA MEDICINA INTERNA;E;I_9_1a;N91a;365;FEA MEDICINA INTERNA;P.MÉDICO MEDICINA INTERNA;DIRECCIÓN MÉDICA;;0
00000045;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA PSICOLOGÍA CLÍNICA;E;I_9_1a;N91a;365;FEA PSICOLOGÍA CLÍNICA;P.MÉDICO PSIQUIATRÍA;DIRECCIÓN MÉDICA;;0
00000046;31/03/2026;20260331;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;FEA CIRUGÍA MAXILOFACIAL;E;I_9_1c;N91c;90;FEA CIRUGÍA ORAL Y MAXILOFACIAL;P.MÉDICO CIRUG.MAXILOFACIAL;DIRECCIÓN MÉDICA;;0
00000047;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA CIRUGÍA MAXILOFACIAL;E;I_9_1a;N91a;275;FEA CIRUGÍA ORAL Y MAXILOFACIAL;P.MÉDICO CIRUG.MAXILOFACIAL;DIRECCIÓN MÉDICA;;0
00000048;14/06/2026;20260614;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;TÉCNICO/A TITULADO/A SUPERIOR;E;I_9_1a;N91a;165;TÉCNICO TITULADO SUPERIOR - LCDO. BIOLOGÍA;P.MÉDICO F.I.V.;DIRECCIÓN MÉDICA;;0
00000049;31/03/2026;20260331;TEMPORAL. T. COM. INTER. N. ESTA;DESEMPEÑO FUNCIONES SUPERIOR CATEGORIA;FEA BIOQUÍMICA CLÍNICA;E;S_9B_1a;S9b1a;90;FEA BIOQUÍMICA CLÍNICA;P.MÉDICO FISIOLOGÍA Y BIOQUÍMICA;DIRECCIÓN MÉDICA;SUBDIRECTOR MÉDICO ATENCION ESPECIALIZADA CATEGORI;0
00000050;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA BIOQUÍMICA CLÍNICA;E;I_9_1a;N91a;275;FEA BIOQUÍMICA CLÍNICA;P.MÉDICO FISIOLOGÍA Y BIOQUÍMICA;DIRECCIÓN MÉDICA;;0
00000051;04/03/2026;20260304;TEMPORAL. T. COM. INTER. N. ESTA;GUARDIAS AT.CONTINUADA;MEDICO/A URGENCIA HOSPITALARIA;E;S_9B_1bG;S9b1b;2;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO DE URGENCIAS;DIRECCIÓN MÉDICA;;0
00000052;12/03/2026;20260312;TEMPORAL. T. COM. INTER. N. ESTA;GUARDIAS AT.CONTINUADA;MEDICO/A URGENCIA HOSPITALARIA;E;S_9B_1bG;S9b1b;2;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO DE URGENCIAS;DIRECCIÓN MÉDICA;;0
00000053;20/03/2026;20260320;TEMPORAL. T. COM. INTER. N. ESTA;GUARDIAS AT.CONTINUADA;MEDICO/A URGENCIA HOSPITALARIA;E;S_9B_1bG;S9b1b;2;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO DE URGENCIAS;DIRECCIÓN MÉDICA;;0
00000054;28/03/2026;20260328;TEMPORAL. T. COM. INTER. N. ESTA;GUARDIAS AT.CONTINUADA;MEDICO/A URGENCIA HOSPITALARIA;E;S_9B_1bG;S9b1b;2;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO DE URGENCIAS;DIRECCIÓN MÉDICA;;0
00000055;12/04/2026;20260412;TEMPORAL. T. COM. INTER. N. ESTA;GUARDIAS AT.CONTINUADA;MEDICO/A URGENCIA HOSPITALARIA;E;S_9B_1bG;S9b1b;2;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO DE URGENCIAS;DIRECCIÓN MÉDICA;;0
00000056;01/05/2026;20260501;TEMPORAL. T. COM. INTER. N. ESTA;GUARDIAS AT.CONTINUADA;MEDICO/A URGENCIA HOSPITALARIA;E;S_9B_1bG;S9b1b;2;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO DE URGENCIAS;DIRECCIÓN MÉDICA;;0
00000057;08/05/2026;20260508;TEMPORAL. T. COMPLETO. N. ESTATU;GUARDIAS AT.CONTINUADA;MEDICO/A URGENCIA HOSPITALARIA;E;S_9B_1b;S9b1b;2;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO DE URGENCIAS;DIRECCIÓN MÉDICA;;0
00000058;21/05/2026;20260521;TEMPORAL. T. COMPLETO. N. ESTATU;GUARDIAS AT.CONTINUADA;MEDICO/A URGENCIA HOSPITALARIA;E;S_9B_1b;S9b1b;2;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO DE URGENCIAS;DIRECCIÓN MÉDICA;;0
00000059;01/06/2026;20260601;TEMPORAL. T. COMPLETO. N. ESTATU;GUARDIAS AT.CONTINUADA;MEDICO/A URGENCIA HOSPITALARIA;E;S_9B_1b;S9b1b;2;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO DE URGENCIAS;DIRECCIÓN MÉDICA;MÉDICO URGENCIA HOSPITALARIA;0
00000060;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA PSIQUIATRÍA;E;I_9_1a;N91a;365;FEA PSIQUIATRÍA;P.MÉDICO PSIQUIATRÍA;DIRECCIÓN MÉDICA;;0
00000061;11/01/2026;20260111;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;MEDICO/A URGENCIA HOSPITALARIA;E;I_9_1a;N91a;11;MÉDICO URGENCIA HOSPITALARIA;P.MÉDICO GERIATRÍA HOSP.NORTE;DIRECCIÓN MÉDICA;;0
00000062;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;MEDICO/A URGENCIA HOSPITALARIA;E;I_9_1a;N91a;365;JEFE DE SERVICIO CIRUGÍA ORAL Y MAXILOFACIAL;P.MÉDICO CIRUG.MAXILOFACIAL;DIRECCIÓN MÉDICA;;0
